"#","Registration No / Notification No","Product Name","Holder"
"19","MAL12055056NC","Opceden® GlutaBrite Capsule","YANLING NATURAL HYGIENE SDN. BHD."
"20","MAL14025001NCR","aviance PYCNO PLUS capsule","UNILEVER MALAYSIA AVIANCE SDN.BHD"
"21","MAL12115030NC","CALDECE Vitamin B6, Vitamin C, Vitamin D, Calcium Effervescent tablet","MEDISPEC (M) SDN.BHD"
"22","MAL13025036NCZ","BIFERCE  Effervescent  tablet","MEDISPEC (M) SDN.BHD"
"23","MAL13055027NC","PERMOTREND capsule","CATALYSIS (M) SDN. BHD."
"24","MAL13075046N","APPETON MULTIVITAMIN OPTIGROW PLUS","KOTRA PHARMA (M) SDN. BHD."
"25","MAL14055002N","Champs Multivitamin Plus Iron & Zinc Pineapple Flavour Chewable Tablet","Duopharma Marketing Sdn. Bhd."
"26","MAL13115002NCZ","aspen nutrition C Vita","ASPEN SARL SDN BHD"
"27","MAL13125020N","DGII PHYTO PLUS SOFTGELS","VS INTERNATIONAL"
"28","MAL14035022N","Glutavescent Powder (Mango Flavour)","UNISON NUTRACEUTICALS SDN. BHD."
"29","MAL13095002NC","aspen nutrition Royal C","ASPEN SARL SDN BHD"
"30","MAL13065033NZ","VITASEN C 100 Chewable Tablet (Grape flavour)","WINWA MEDICAL SDN. BHD."
"31","MAL14055052NC","FENZA","MEGA LIFESCIENCES SDN. BHD."
"32","MAL16015003N","CAMERON DEER PLACENTA + SEABUCKTHORN SEED OIL PLUS ENTERIC COATED SOFT GEL CAPSULE","CAMERON BIOSCIENCE (M) SDN BHD"
"33","MAL16035030N","MHD NutriCenta Deer Placenta + Grape Seed Oil Plus Enteric-Coated Soft Gel","CAMERON BIOSCIENCE (M) SDN BHD"
"34","MAL13085024NCR","BLACKMORES MULTIVITAMIN + MINERAL TABLETS","BLACKMORES (MALAYSIA) SDN. BHD."
"35","MAL14055053N","PRENAVIT TABLET","SUNWARD PHARMACEUTICAL SDN. BHD."
"36","MAL14055004NC","BEAU VITA MARINE COLLAGEN VITAMIN C PLUS GLUTATHIONE CAPSULE","Ph Manufacturing Sdn Bhd"
"37","MAL13115143NC","Shaklee® VITA-LEA FOR Children","SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD."
"38","MAL13125023NC","HERBALIFE Multivitamin & Minerals Tablet","HERBALIFE PRODUCTS MALAYSIA SDN BHD"
"39","MAL15045086N","Glutavescent Powder (Lychee Flavour)","UNISON NUTRACEUTICALS SDN. BHD."
"40","MAL15015045NC","CEELIN ZINC PLUS Apple Flavor Syrup","UNAM PHARMACEUTICAL (M) SDN BHD"
"41","MAL14055007NCR","SURBEX PROTECT","ABBOTT LABORATORIES (M) SDN. BHD."
"42","MAL14125054NZ","Champs Vitamin C 30mg Orange Flavour Chewable Tablet","Duopharma Marketing Sdn. Bhd."
"43","MAL14125112NZ","Champs Vitamin C 30mg Blackcurrant Flavour Chewable Tablet","Duopharma Marketing Sdn. Bhd."
"44","MAL14085004N","CHAMPS MULTIVITAMIN PLUS FOLIC ACID & TAURINE (LYCHEE FLAVOUR) CHEWABLE TABLET","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"45","MAL14085001N","LIFEFIT GOLD TABLET","NOVA LABORATORIES SDN. BHD."
"46","MAL14075003N","VITASEN Daily Multivitamin plus Lysine (Orange flavour)","WINWA MEDICAL SDN. BHD."
"47","MAL14085005NZ","Chewette C 50 mg Chewable Tablet (Orange Flavour) Sugar Free","HOVID BERHAD"
"48","MAL14095001NCR","Eurobio® Vibrex Zinc Plus Active Formula Tablet","EUROBIO SDN BHD"
"49","MAL14125139NC","aspen nutrition Multivitamin plus Lysine chewable tablet (orange flavour)","ASPEN SARL SDN BHD"
"50","MAL14095003N","PROVITON SOFTGEL CAPSULE","Duopharma Marketing Sdn. Bhd."
"51","MAL16015084N","WHP L-GLUTATHIONE PLUS CAPSULE","WHITE HERON PHARMACEUTICAL SDN. BHD."
"52","MAL14105044NCR","Swissmed GCS Softgel","BIO-SCIENCE MARKETING SDN. BHD."
"53","MAL15075006N","hovid NUTRIMOM TABLET","HOVID BERHAD"
"54","MAL14125117N","Hovid Betaton Soft Gelatin Capsule","HOVID BERHAD"
"55","MAL14125031NC","beyonde LifeSential Multivitamins & Minerals Plus Amino acids Tablet","OMNICONNECT WORLDWIDE SDN. BHD."
"56","MAL14125140N","EnerGlo Lutein & Zeaxanthin Plus Powder","WINWA MEDICAL SDN. BHD."
"57","MAL15045042N","VITASEN Vitamin C 1000mg plus Zinc & Beta Carotene Effervescent Granules (orange flavour)","WINWA MEDICAL SDN. BHD."
"58","MAL15015028NC","Kordel's Vitamin C 1000mg + Zinc Effervescent Tablet (Passion Fruit Flavour)","CAMBERT(M) SDN BHD"
"59","MAL14125141N","Live-well&#0153 OXYsential&#0153 Capsule","PAHANG PHARMACY SDN. BHD."
"60","MAL15095014NCR","BLACKMORES BIO C TABLETS","BLACKMORES (MALAYSIA) SDN. BHD."
"61","MAL15015041N","Live-well&#0153 GLUCOsential&#0153 Capsule","PAHANG PHARMACY SDN. BHD."
"62","MAL15065002N","VITASEN B Complex plus Vitamin C & Minerals Effervescent Granules (orange flavour)","WINWA MEDICAL SDN. BHD."
"63","MAL15045093N","FLORDIS Madrena Tablet","DELFI MARKETING SDN.BHD."
"64","MAL15025021NC","VitaHealth ROBOVITES Kids' Chewy C 250mg Orange Flavour Tablet","VITAHEALTH BIOTECH SDN BHD"
"65","MAL16045016NCR","VitaHealth Chromium Complex Tablet","VITAHEALTH BIOTECH SDN BHD"
"66","MAL15045097NCR","VitaHealth OPC Plus Tablet","VITAHEALTH MALAYSIA SDN. BHD."
"67","MAL15045043NCR","BLACKMORES BIO ACE PLUS TABLETS","BLACKMORES (MALAYSIA) SDN. BHD."
"68","MAL16015056N","Live-well DAILYsential Capsule","PAHANG PHARMACY SDN. BHD."
"69","MAL15015031NC","VitaHealth Kids Multivits + Lysine & Inulin Syrup (Orange Flavour)","VITAHEALTH BIOTECH SDN BHD"
"70","MAL15085048NC","CellLabs  Ast-Glu-C  Capsule","CELLGEN LIFESCIENCES (M) SDN. BHD."
"71","MAL16035032N","FINE HYALURONIC ACID & COLLAGEN PLUS POWDER","Cason Group Sdn. Bhd."
"72","MAL15045047NC","PureMed Cytramium Soft Gel","BIO-SCIENCE MARKETING SDN. BHD."
"73","MAL16055007NC","LAC Taut NUWHITEN Capsule","LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD."
"74","MAL15105020NC","LAC® Taut® Collagen Plus Liquid","LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD."
"75","MAL15075012N","GNC ARGINMAX Tablet","ONI Global (Malaysia) Sdn Bhd"
"76","MAL15045174NCR","VitaHealth Asta-Glutathione + Capsule","VITAHEALTH BIOTECH SDN BHD"
"77","MAL15025043AZ","Trovite IV Injection","DUOPHARMA (M) SDN. BHD."
"78","MAL16015011NCR","REGIUS  PRIMORIS  OPC  PLUS  CAPSULE","Natures Care Resources Sdn Bhd"
"79","MAL15045051N","VIVA LIFE SCIENCE OQ Care  Tablet","VIVA LIFE SCIENCE SDN. BHD."
"80","MAL15105012NC","HERBALIFE Garlic Plus Tablet","HERBALIFE PRODUCTS MALAYSIA SDN BHD"
"81","MAL15055021NC","COLLAWELL Collagen Hydrolysate Complex Powder","Nael & Newk Nutra Health Sdn. Bhd."
"82","MAL16035028NC","Resvenus Collagen Plus Powder","Resvenus Niaga Sdn. Bhd."
"83","MAL15065008NC","VELBRYTE BY NOURI CAPSULE","DEESSE EMPIRE SDN. BHD."
"84","MAL16015013NC","Appeton Essentials Collagen Plus Effervescent Powder","KOTRA PHARMA (M) SDN. BHD."
"85","MAL16055019N","JUVENOC CHEWABLE TABLET","EASY PLUS PHARMACEUTICAL (M) SDN. BHD."
"86","MAL16025010N","UVIOGARD TruAstaxanthin ACE Plus Capsule","Live-Well Nutraceuticals Sdn. Bhd."
"87","MAL16085007N","+P  N' rgy  Softgel Capsule","HEALOL PHARMACEUTICALS SDN. BHD."
"88","MAL16015063NZ","IDAMAN PHARMA ASCORBIC ACID 100MG TABLET","IDAMAN PHARMA MANUFACTURING SDN BHD"
"89","MAL16055010N","WYTA KID CHEWABLE TABLET","EASY PLUS PHARMACEUTICAL (M) SDN. BHD."
"90","MAL15075035N","AstaLive Tablet","YANLING NATURAL HYGIENE SDN. BHD."
"91","MAL16045007N","Nn OptiVizion Tablet","YANLING NATURAL HYGIENE SDN. BHD."
"92","MAL16015015NCZ","FOREVER ABSORBENT-C CHEWABLE TABLET","FOREVER LIVING PRODUCTS (M) SDN. BHD."
"93","MAL16065032N","Reneogen Powder","Wells Products Industry Sdn Bhd"
"94","MAL15075001NZ","EFFERZON Vitamin C 1000mg Effervescent Tablet","LONNIX (M) SDN. BHD."
"95","MAL16055011N","Flavettes Effervescent Vital Effervescent Tablet (Orange)","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"96","MAL16015018NC","Opceden MEMOMAZ CHEWABLE TABLET","ASIA HEALTHCARE SDN. BHD."
"97","MAL16125002NCR","Ocuvite Lutein Plus Soft Gel Vegicaps","Bausch & Lomb (Malaysia) Sdn. Bhd."
"98","MAL16095029N","Berocca mango flavour effervescent tablets","BAYER CO. (MALAYSIA) SDN. BHD."
"99","MAL16035034NC","LAC Taut NUWHITE Powder","LAC GLOBAL BRANDS (MALAYSIA) SDN. BHD."
"100","MAL16015064NC","FR GLUTACAPS WHITEBOSS CAPSULE","VIHSDIA ENTERPRISE"
"101","MAL15105017NZ","Bocalex C 1000 Effervescent Tablet","Powerlife (m) Sdn Bhd"
"102","MAL16095007NCR","StemLabs Vit C with Citrus Sinensis Extract and Rutin Tablet","CELLGEN LIFESCIENCES (M) SDN. BHD."
"103","MAL17025013NCR","StemLabs Executive B Plus Film Coated Tablet","CELLGEN LIFESCIENCES (M) SDN. BHD."
"104","MAL16015006NC","29 NEXENTURY FAIR PLUS II CAPSULES","Phri Bio-Tech Sdn Bhd"
"105","MAL16015065NC","GluTab Glutathione Plus Tablet","FEREENA BEAUTY CARE"
"106","MAL16075038NCZ","Live-well C-BURST 1,000mg Tablet","Live-Well Nutraceuticals Sdn. Bhd."
"107","MAL15125014N","EFFERZON Vitamin C 1000mg + Zinc Effervescent Tablet (Orange Flavour)","LONNIX (M) SDN. BHD."
"108","MAL16075040NCR","BLACKMORES BUFFERED C SUSTAINED RELEASE TABLETS","BLACKMORES (MALAYSIA) SDN. BHD."
"109","MAL17035012NC","BLACKMORES PREGNANCY & BREAST-FEEDING FORMULA CAPSULE","BLACKMORES (MALAYSIA) SDN. BHD."
"110","MAL16035038N","LYCOREAL Capsule","Live-Well Nutraceuticals Sdn. Bhd."
"111","MAL16125048NCR","VitaHealth Vitamin C with Zinc+ Tablet","VITAHEALTH BIOTECH SDN BHD"
"112","MAL16085009NC","Oliferin Whitolive Capsule","Nutriva International Sdn. Bhd."
"113","MAL16015022NC","FERWHITE L-GLUTATHIONE PLUS VITAMIN C CAPSULE","FEREENA BEAUTY CARE"
"114","MAL17025008NC","Centrum Silver Multivitamin-Multimineral Plus Lutein and Lycopene Tablet","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"115","MAL16035001NC","ANNONA VITAMIN C 500MG CAPSULE","MOS NUTRACEUTICAL SDN. BHD."
"116","MAL16085038NC","guardian Vitamin B-Complex + Vitamin C + Minerals Effervescent Tablet","GUARDIAN HEALTH AND BEAUTY SDN. BHD."
"117","MAL16125007N","Live-well WGP Immugard Tablet","PAHANG PHARMACY SDN. BHD."
"118","MAL16095028NC","BLINQ BEAU POWDER","BLINQ SISTARZ SDN BHD"
"119","MAL16085003NC","guardian Vitamin C 1000mg + Zinc 10mg Effervescent Tablet (Orange Flavour)","GUARDIAN HEALTH AND BEAUTY SDN. BHD."
"120","MAL16085012NZ","natural Factors Chewable C 500mg Tangy Orange Flavour  Tablet","NUVANTA SDN. BHD."
"121","MAL17035013NC","effermune zin-c effervescent tablet","Powerlife (m) Sdn Bhd"
"122","MAL17035002N","shine PRIMOVITE Film Coated Tablet","Y.S.P. INDUSTRIES (M) SDN BHD"
"123","MAL16055014NC","TW 3 VITE L-GLUTATHIONE PLUS CAPSULE","LUMIERIOUS LAB"
"124","MAL16075007NC","B'BEAU Vitamin C Plus Capsule","SATIN SKINZ SDN BHD"
"125","MAL17045007NC","Centrum MULTIVITAMIN-MULTIMINERAL PLUS LUTEIN & LYCOPENE Tablet","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"126","MAL16115008NC","Eastern C Plus Rutin Tablet","Eastern Healthcare (M) Sdn. Bhd."
"127","MAL16095003NC","BEUTSKEENZ GLUTATHIONE PLUS CAPSULE","DZR PHARMA MANUFACTURE SDN. BHD."
"128","MAL16095012NC","Dian'z Vit C & E Plus Tablet","Dian Legacy Sdn Bhd"
"129","MAL16095016NC","VITASKEENZ GLUTAPLUS CHEWABLE TABLET","MRZ HERBAL HEALTHY CARE"
"130","MAL16095017N","Flavettes Effervescent VITAMIN C ZINC Effervescent Tablet (Orange)","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"131","MAL16095018NZ","Flavettes Effervescent VITAMIN C 1000mg Effervescent Tablet (Orange)","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"132","MAL16125046NC","MILLENIA CHAMP CHAMP L-GLUTATHIONE PLUS CHEWABLE TABLET","MRZ HERBAL HEALTHY CARE"
"133","MAL17025012NCR","VitaHealth Selenium Plus Tablet","VITAHEALTH BIOTECH SDN BHD"
"134","MAL16095024N","VITASEN Cal-600 plus Vitamin A, D & C Effervescent Granules (Orange flavour)","WINWA MEDICAL SDN. BHD."
"135","MAL17045001NCR","NATURERICH Multi One tablets","PRO NUTRITION (MALAYSIA) SDN. BHD."
"136","MAL19970389T","WILD GINSENG BIRD`S NEST CORDYCEPS WITH SINENSIS TONIC","JAYA MEDI SUPPLY"
"137","MAL19988268T","FOREVER ALOE VERA GEL","FOREVER LIVING PRODUCTS (M) SDN. BHD."
"138","MAL06051407XZ","Vitasen C 250 Chewable Tablet ( Juicy Citrus )","WINWA MEDICAL SDN. BHD."
"139","MAL19950121XC","ERYBION CAPSULE","ZONTRON PHARMACEUTICALS SDN. BHD."
"140","MAL19911127XZ","CHEWETTE C TABLET","HOVID BERHAD"
"141","MAL19911128XZ","CHEWETTE C-250 TABLET","HOVID BERHAD"
"142","MAL19910657XZ","DYNA C 100 TABLET","DYNAPHARM (M) SDN BHD"
"143","MAL19910656XZ","DYNA C 250 TABLET","DYNAPHARM (M) SDN BHD"
"144","MAL19912609X","Strepsils Orange with Vitamin C Lozenges","RB (HEALTH) MALAYSIA SDN BHD"
"145","MAL19911658XCZ","Chewies Vitamin C 100mg Chewable Tablet","AJ RESEARCH & PHARMA SDN. BHD."
"146","MAL19920780XZ","CHEWIES PLUS VITAMIN C 300MG TABLET","AJ RESEARCH & PHARMA SDN. BHD."
"147","MAL19911659XCZ","Vitraplus Vitamin-C 500mg Chewable Tablet","AJ RESEARCH & PHARMA SDN. BHD."
"148","MAL19910382X","NUTRILITE CHILDREN MULTIVITAMIN AND IRON CHEWABLE TABLET","AMWAY (MALAYSIA) SDN. BHD."
"149","MAL19910627X","A.D. ORANGE SYRUP","DYNAPHARM (M) SDN BHD"
"150","MAL19911408X","DIAMOND VITAMIN SYRUP","DYNAPHARM (M) SDN BHD"
"151","MAL19911861X","Dyna Wellsen Tablet","DYNAPHARM (M) SDN BHD"
"152","MAL19912838XZ","VITASEN VITAMIN C 100MG TABLET","WINWA MEDICAL SDN. BHD."
"153","MAL19913071X","MUL-TAB","NGL TRADING SDN BHD"
"154","MAL19921505X","Pharma  Supa MultiVites","HOVID BERHAD"
"155","MAL19930610X","APPETON LYSINE MULTIVITAMIN TABLETS","KOTRA PHARMA (M) SDN. BHD."
"156","MAL19950412X","ROYAL JELLY VITA-C CHEWABLE TABLET 250MG (ORANGE FLAVOUR)","DUOPHARMA (M) SDN. BHD."
"157","MAL19940083XZ","VITAHEALTH VITAMIN C 500 MG CHEWABLE ORANGE FLAVOUR TABLET","HOVID BERHAD"
"158","MAL19961009XZ","SWECEE CHEWABLE TABLET","SM PHARMACEUTICALS SDN. BHD."
"159","MAL19990941XC","REVITAL CAPSULE","RANBAXY (MALAYSIA) SDN. BHD."
"160","MAL19990325XR","BIG 100 TABLETS","21ST CENTURY PRODUCTS SDN. BHD."
"161","MAL19991192XR","JUNIOR MEMORAX TABLET","21ST CENTURY PRODUCTS SDN. BHD."
"162","MAL19990329XR","ONE A DAY TABLET","21ST CENTURY PRODUCTS SDN. BHD."
"163","MAL19972562XR","BCAA TABLET","21ST CENTURY PRODUCTS SDN. BHD."
"164","MAL19962826X","GIN-CHIA TABLET","FOREVER LIVING PRODUCTS (M) SDN. BHD."
"165","MAL19985992XCR","SHEALTH MULTIVITAMIN + MINERALS PLUS","NUVANTA SDN. BHD."
"166","MAL19970302XZ","CHEWETTE C 100MG CHEWABLE TABLET (BLACKCURRANT FLAVOUR)","HOVID BERHAD"
"167","MAL19971829X","NUTRILITE KIDS CHEWABLE NATURAL C TABLET","AMWAY (MALAYSIA) SDN. BHD."
"168","MAL19970303X","SEVEN SEAS ONE-A-DAY MULTIVITAMINS & MINERALS COMPLEX SOFTGELS","HOVID BERHAD"
"169","MAL19970304XZ","NUTRI- C 250","HOVID BERHAD"
"170","MAL19985571X","VIVALIFE A-Z TABLET","VIVA LIFE SCIENCE SDN. BHD."
"171","MAL19972895XZ","DYNA C 100 TABLET","IZUHAN PHARMACY SDN BHD"
"172","MAL19971891X","MULTICO TABLET","SUNWARD PHARMACEUTICAL SDN. BHD."
"173","MAL19973034X","SOLARAY SUPA BIO-C CAPSULE 1000MG","PATHLAB HEALTHCARE (MALAYSIA) SDN. BHD."
"174","MAL19984856XZ","APPETON ACTIV-C (ORANGE) TABLET","KOTRA PHARMA (M) SDN. BHD."
"175","MAL19984857XZ","APPETON ESSENTIALS ACTIV-C 250 (ORANGE)","KOTRA PHARMA (M) SDN. BHD."
"176","MAL19973781XC","HOVID ALLVITE SOFT GELATIN CAPSULE","Hovid Pharmacy Sdn. Bhd."
"177","MAL19973780XC","HOVID BETATON WITH GINSENG SOFTGEL","Hovid Pharmacy Sdn. Bhd."
"178","MAL19992170XCR","PHARMATON CAPSULES WITH SELENIUM","DKSH MALAYSIA SDN BHD"
"179","MAL19990346X","DYNA PREGMIN TABLET","DYNAPHARM (M) SDN BHD"
"180","MAL19986027XC","GOLD LIFE® IRON-PLUS TABLET","MEDIPHARM INDUSTRIES SDN. BHD."
"181","MAL19987402XC","ENERGEE CAPSULE","MEDIPHARM INDUSTRIES SDN. BHD."
"182","MAL19986553X","DAILY-VITE MULTIVITAMIN SYRUP FOR CHILDREN","DYNAPHARM (M) SDN BHD"
"183","MAL19985584X","FUJI MULTIVIT TABLET","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"184","MAL19986025X","Champs Vitamin C 100mg Plus Lysine Fruity Flavour Chewable Tablet","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"185","MAL19988004XZ","C COMPLEX","VIVA LIFE SCIENCE SDN. BHD."
"186","MAL19989058X","APPETON TEENGROW","KOTRA PHARMA (M) SDN. BHD."
"187","MAL20013975XCZ","CHEWIES 500 SUGAR FREE VITAMIN C TABLET","AJ RESEARCH & PHARMA SDN. BHD."
"188","MAL19991176XCR","BLACKMORES B + C TABLET","BLACKMORES (MALAYSIA) SDN. BHD."
"189","MAL19991178XCR","BLACKMORES EXECUTIVE B TABLET","BLACKMORES (MALAYSIA) SDN. BHD."
"190","MAL20013974XZ","CHEWIES CHILDREN CHEWABLE FRUITY FLAVOURED VITAMIN C TABLET 100MG (SUGAR FREE)","AJ RESEARCH & PHARMA SDN. BHD."
"191","MAL19991202XZ","APPETON ESSENTIALS ACTIV-C 500 (ORANGE)","KOTRA PHARMA (M) SDN. BHD."
"192","MAL19991539XC","SEVEN SEAS MULTIVITAMIN SYRUP WITH COD LIVER OIL","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"193","MAL19991540XCE","SEVEN SEAS MULTIVITAMIN SYRUP","PROCTER & GAMBLE (MALAYSIA ) SDN.BHD."
"194","MAL19992617XZ","Citrex Vitamin C Blackcurrant Tablet 100mg","PHARMANIAGA MANUFACTURING BERHAD"
"195","MAL19992616XZ","CITREX VITAMIN C ORANGE TABLET 100MG","PHARMANIAGA MANUFACTURING BERHAD"
"196","MAL20000089X","APPETON ESSENTIALS MV21+ GINSENG","KOTRA PHARMA (M) SDN. BHD."
"197","MAL20000472XC","SURE-LIN 24 MULTIVITAMIN TABLET","PEMBEKALAN UBAT HUATHAI SDN. BHD."
"198","MAL20000455XZ","CITREX VITAMIN C 1000MG TABLET","PHARMANIAGA MANUFACTURING BERHAD"
"199","MAL20001307X","SUNRIDER CITRIC C TAB","SUNRIDER INTERNATIONAL (MALAYSIA) SDN BHD"
"200","MAL20000890XZ","Champs Vitamin C 100mg Sugar Free Strawberry Flavour Chewable Tablet","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"201","MAL20001614X","DYNA VITAMIN SYRUP","DYNAPHARM (M) SDN BHD"
"202","MAL20002296XRZ","VITAMIN C-1000 PROLONGED RELEASE","21ST CENTURY PRODUCTS SDN. BHD."
"203","MAL20013182X","Shine Multivitamin and Mineral Capsule","Y.S.P. INDUSTRIES (M) SDN BHD"
"204","MAL20034307X","NATURE`S GIFT  CALCIUM COMPLEX","LINTAN ENTERPRISE SDN.BHD"
"205","MAL20013145X","SOLARAY PROVIDE","PATHLAB HEALTHCARE (MALAYSIA) SDN. BHD."
"206","MAL20013144X","SOLARAY SPECTRO","PATHLAB HEALTHCARE (MALAYSIA) SDN. BHD."
"207","MAL20013143X","SOLARAY SUPA NUTRIENTS","PATHLAB HEALTHCARE (MALAYSIA) SDN. BHD."
"208","MAL20013505X","HOVID Q10 PLUS","HOVID BERHAD"
"209","MAL20013499XZ","APPETON A TO Z KID'S VITAMIN C 30MG TABLET (ORANGE)","KOTRA PHARMA (M) SDN. BHD."
"210","MAL20013823XRZ","21st Century Acid Free C 500mg Tablet","21ST CENTURY PRODUCTS SDN. BHD."
"211","MAL20013824XRZ","21ST CENTURY ACID FREE C 1000MG TABLET","21ST CENTURY PRODUCTS SDN. BHD."
"212","MAL20013500XZ","APPETON ESSENTIALS ACTIV - C 250 (BLACKCURRANT)","KOTRA PHARMA (M) SDN. BHD."
"213","MAL20013602X","APPETON WITH TAURINE SYRUP","KOTRA PHARMA (M) SDN. BHD."
"214","MAL20040954XR","BiO-LiFE nat C 1000 tablet","MEGA LIFESCIENCES SDN. BHD."
"215","MAL20014564XZ","Shine Vitamin C-100 Chewable Tablet Grape Flavour","Y.S.P. INDUSTRIES (M) SDN BHD"
"216","MAL20020545X","APPETON WITH LYSINE SYRUP","KOTRA PHARMA (M) SDN. BHD."
"217","MAL20021190XCR","BiO-LiFE Executive B Complex Tablet","BIO-LIFE MARKETING SDN BHD"
"218","MAL20020730X","REDOXON DOUBLE ACTION VITAMIN C + ZINC EFFERVESCENT TABLETS","BAYER CO. (MALAYSIA) SDN. BHD."
"219","MAL20032387XR","21ST CENTURY SELENIUM `N` ACE TABLET","21ST CENTURY PRODUCTS SDN. BHD."
"220","MAL20031768X","APPETON MULTIVITAMIN PLUS INFANT DROPS","KOTRA PHARMA (M) SDN. BHD."
"221","MAL20031962X","GLUCOGUARD","VIVA LIFE SCIENCE SDN. BHD."
"222","MAL20021193XC","LIFEPAK","NU SKIN (MALAYSIA) SDN. BHD."
"223","MAL20040188X","GNC Chewable C 100mg Tablet with Citrus Bioflavonoids","ONI Global (Malaysia) Sdn Bhd"
"224","MAL20032459XR","PYNOCARE","MEGA LIFESCIENCES SDN. BHD."
"225","MAL20032462X","SHINE ENERB CAPSULE","Y.S.P. INDUSTRIES (M) SDN BHD"
"226","MAL20021197XC","NOREFAL SWISS EXTRAITS","Norefal (Mktg) Sdn Bhd"
"227","MAL20021577X","FLAVETTES DAILY PLUS TABLET F/C","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"228","MAL20032178XC","PROVITE DAILY MULTIVITAMINS & MINERAL TABLET","GBA  HOLDINGS  SDN.BHD"
"229","MAL20031769X","APPETON ESSENTIALS NATAL CARE","KOTRA PHARMA (M) SDN. BHD."
"230","MAL20033528X","SHINE JUNIOR MULTIVITAMIN CHEWABLE TABLET","Y.S.P. INDUSTRIES (M) SDN BHD"
"231","MAL20032177XZ","APPETON ACTIV-C (BLACKCURRANT) TABLET","KOTRA PHARMA (M) SDN. BHD."
"232","MAL20032457X","MF III OF SWITZERLAND PE SOFTGEL CAPSULES","VOGUE MARKETING INTERNATIONAL"
"233","MAL20033536XR","SPECTRUM MULTIVITAMINS & MINERALS TABLET","21ST CENTURY PRODUCTS SDN. BHD."
"234","MAL20041146X","GNC Vitamin C With Citrus Bioflavonoids Timed Release Tablet","ONI Global (Malaysia) Sdn Bhd"
"235","MAL20034871X","APPETON TAURINE MULTIVITAMIN TABLETS","KOTRA PHARMA (M) SDN. BHD."
"236","MAL20040266XR","Luxor Ex-Tar C Plus Tablet","TOTAL IMAGE REGIONAL (M) SDN BHD"
"237","MAL20051313X","BIOGROW® VITE","UNISON NUTRACEUTICALS SDN. BHD."
"238","MAL20034570XZ","Flavettes Vitamin C Orange 500mg Sugar Free","Duopharma Marketing Sdn. Bhd."
"239","MAL20033694XRZ","VITAMIN C 500MG ORANGE CHEWABLE","21ST CENTURY PRODUCTS SDN. BHD."
"240","MAL20034003XRZ","VITAMIN C 250MG ORANGE CHEWABLE","21ST CENTURY PRODUCTS SDN. BHD."
